PARTNUMBER;DESCRIPTION;TYPE
PN12344A21;Screw M6 35 mm;Component
PN52384R50;300x300 mm 5 mm stainless steel sheet;Component
PN52384R10;300x300 mm 1 mm stainless steel sheet;Component
PN18544A21;Rivet 6 mm;Component
PN18544C21;Stainless steel handle model U6;Component
PN18324C54;Stainless steel handle model R12;Component
PN52384R45;250x250 mm 5mm stainless steel sheet;Component
PN52384R12;250x250 mm 1mm stainless steel sheet;Component
PN18324C91;Stainless steel handle model S26;Component
PN18324C51;Stainless steel handle model R11;Component
AS12945T22;5l 22 cm aluminium and teflon non stick pot;Product
AS12945S22;5l 22 cm stainless steel pot;Product
AS12946S22;5l 22 cm stainless steel pot bottom;Product
AS12947S22;22 cm stainless steel lid;Product
AS12945S20;3l 20 cm stainless steel pot;Product
AS12946S20;3l 20 cm stainless steel pot bottom;Product
AS12947S20;20 cm stainless steel lid;Product
AS12945S17;2l 17 cm stainless steel pot;Product
AS12945P17;2l 17 cm stainless steel sauce pan;Product
AS12945S48;17 cm stainless steel lid;Product
AS12945G48;17 cm glass lid;Product
IP12945A01;250 mm 5 mm stainless steel disc;Intermediate Product
IP12945A02;220 mm pot base phase 1;Intermediate Product
IP12945A03;220 mm pot base phase 2;Intermediate Product
IP12945A04;220 mm pot base final;Intermediate Product
IP12947A01;250 mm 1 mm stainless steel disc;Intermediate Product
IP12947A02;220 mm lid pressed;Intermediate Product
IP12947A03;220 mm lid polished;Intermediate Product
IP12947A04;220 mm lid with handle;Intermediate Product
IP12945A32;200 mm pot base phase 1;Intermediate Product
IP12945A33;200 mm pot base phase 2;Intermediate Product
IP12945A34;200 mm pot base final;Intermediate Product
IP12947A32;200 mm lid pressed;Intermediate Product
IP12947A33;200 mm lid polished;Intermediate Product
IP12947A34;200 mm lid with handle;Intermediate Product
PN94561L67;Coolube 2210XP;Raw Material
